[00:00] 好的，那
[02:29] 不要，不要炸，不要炸太久，然後我這上面也會打說不要炸太久，就雞排這個選項，它不要炸太久。
[02:34] 對對對。
[02:35] 它就會像這樣這樣列出來。
[02:37] 對對對對。
[02:37] 你就不用去手寫。
[02:39] 沒錯，沒錯，這個就是省去你還要手寫單的困擾，你就是直接打一打，它就一直印，一直噴單，然後你就一直做餐就好了。
[02:47] 沒錯，會是這樣的形式，啊如果說它又是那種雞排，就是你明明就是一個炸雞排，他說它裡面要加炸皮蛋，要混在一起，然後你可能除了加炸皮蛋，然後是你客制給它可能加個20塊。
[03:00] 這裡臨時加錢也可以。
[03:02] 我原價170。
[03:03] 哦，原來這個還可以用這個。
[03:05] 對。
[03:05] 就比如說它加個10塊錢九層塔，我就打在上面就可以了。
[03:08] 哦。
[03:09] 那如果你一樣老樣子，10塊九層塔很常遇到的話，你直接把它建成其中一個。
[03:14] 沒有，很少很少很少。
[03:15] 哦，好好好，那我們就不要浪費這個註記的項目。
[03:18] 我想問一下，它這個加10塊等於說明細印出來就是會把金額寫上去了嗎？
[03:23] 對，因為我用文字註記就沒有啊。
[03:24] 對。
[03:25] 對啊。
[03:25] 對對對對對。
[03:26] 文字註記的話，它不會把金額加進去。
[03:29] 所以你會有那種你要加錢，那你打在這裡。
[03:32] 對。
[03:32] 對。
[03:33] 這麼可愛。
[03:33] 對，我不知道啊，我不知道這個。
[03:35] 好好好，那剛好有一起。
[03:36] 剛學到。
[03:37] 對。
[03:38] 對對對對對，會是這樣形式，所以你可能就是好這樣子。
[03:43] 好，等一下。
[03:45] 這樣。
[03:46] 然後它就會寫說OK，加20，然後就會把錢加進來這樣子。
[03:49] 對。
[03:50] 對，啊內用的話會幫你算翻桌率，所以會選人數，那我們就下來做結賬。
[03:54] 快速結賬這樣滑過去，我們就結賬。
[03:57] 啊如果你們還有辦LivePay啊，全支付，有付接口。
[04:00] 所有的支付方式都可以列在這裡。
[04:02] 然後看你選哪個支付方式去結賬，啊如果是現金的話，會辨識面額給你。
[04:07] 啊如果比較奇葩數字你也不用準備計算機，你就是打10090。
[04:12] 這樣子。
[04:13] 這樣滑過去。
[04:13] 我還不知道這個，我都有用計算機耶。
[04:15] 哎，你怎麼那麼可愛，你是我很老的客人對不對？
[04:18] 對，很久了，我用六年了。
[04:20] 哦，那真的是。
[04:21] 對啊，我現在才知道有這個。
[04:22] 搞不好是它進步，搞不好是它進步。
[04:25] 好像以前沒有。
[04:26] 那那如果確定合作我去教學，你看你要不要，有空也來，然後我們就一起回味一下。
[04:32] 對啊，而且我原本的內業務也沒做，我都不知道要找誰。
[04:35] 找客服，因為我們都是屬於開放團隊，我們都會把後續的你們會有需求的地方都會pass給客服了，因為像我現在跟你談，如果你扣我我是不會接的。
[04:46] 然後大部分我們不是在簽約就是在教學。
[04:49] 對啊。
[04:49] 所以話就是聯絡客服。
[04:50] 客服那麼快。
[04:51] 對對，他們只修除夕初一初二，每天早上9點半到晚上10點半都有人。
[04:56] 哦。
[04:57] 有事情就扣他，對，而且都是真人，就是打過去是馬上接到真實的人，不是在那邊轉一轉。
[05:03] 對啊，就說Uber一樣啊，有可能就是人家用大陸的那種客服。
[05:08] 沒有沒有沒有。
[05:09] 你連LINE訊息也都是真人。
[05:11] 好。
[05:11] 目前是啊，多用一點。
[05:13] 對。
[05:14] 啊那沒用到當然是好事啊，對我們來說就是代表你很熟悉我們系統，也不太會有操作上的疑問，那是最好的啦。
[05:20] 有啦，我還有一個疑問，我外帶外帶訂單嘛，欸，我外帶訂單在哪裡？
[05:24] 好，等一下。
[05:25] 我現在外帶。
[05:26] 我現在外帶。
[05:26] 然後像我這個要結賬啊，這個好像這邊的畫面好像是很久之前的都都沒有刪掉。
[05:33] 可是我後來要結賬關賬沒有辦法關，只能小結。
[05:36] 好，原因是。
[05:37] 這個這個我要怎麼弄，可是我按重設那個篩選條件這些都不行。
[05:42] 好，如果你有沒結賬的單，就會沒辦法去做關賬。
[05:45] 那你要把它結掉，啊不然就刪掉。
[05:48] 要怎麼刪，可是這這個畫面沒有出現這個東西啊。
[05:51] 就這樣啊。
[05:52] 我知道，我的意思是說沒有出現11號21號類似這種東西。
[05:55] 好，那有可能，有可能你這裡沒有顯示所有訂單，你讓它跑所有訂單，有可能你篩選篩選今日。
[06:01] 哦。
[06:02] 所以你一直找不到，然後一直。
[06:03] 對啊，我到現在還是沒辦法關賬。
[06:04] 傻眼。
[06:05] 我全部都一直用小結。
[06:06] 你怎麼沒問客服？
[06:07] 因為我說算了，那好像不重要，然後我跟我阿姨，然後我們都想說隨便就用小結就好。
[06:11] 你也太可愛了，那你這樣子系統沒有緩慢嗎？
[06:15] 有啊，我就覺得怪怪的。
[06:17] 那我我明天再去試試看好了。
[06:18] 好，然後，然後如果說都已經結賬只是沒出店的話，我們就點右下角工具箱，往左滑，這裡有訂單快速出店。
[06:27] 你就開始外送，它就啪啪啪啪啪全部幫你出掉了，你就不要一直猶豫。
[06:30] 哦，等一下等一下，你說哪一個哪一個按鍵？
[06:33] 好來哦，工具箱。
[06:34] 這這我拍下來好了。
[06:36] 說了，因為我這個到現在都沒辦法關，超好笑的。
[06:38] 你太可愛了。
[06:39] 等一下，這這邊嗎？
[06:40] 你說。
[06:41] 好來。
[06:42] 我要那個工具箱。
[06:43] 開始。
[06:43] OK。
[06:44] 好，工具箱。
[06:44] 然後往右滑，哦，往左滑。
[06:47] 往左滑。
[06:48] 然後哪一個？
[06:49] 然後再訂單快速出店。
[06:50] 啊這個大前提是已經結賬了。
[06:52] 哦，好。
[06:53] 對對對對對對。
[06:54] 訂單快速出店，然後這樣子的話我這些都都會消失掉。
[06:57] 就會消失掉。
[06:58] 就不見了。
[06:58] 哦，好，一定超多的。
[07:00] 太棒了，謝謝你。
[07:01] 好，不會不會不會不會。
[07:03] 能幫上你很好。
[07:04] 對對對，啊大致上這樣，就是會分內用跟外帶。
[07:08] 啊外帶這邊你有綁UberEats或Foodpanda那些嗎？
[07:11] 我的Uber跟Foodpanda就是它自己有列印的功能的，所以我都是比如說今天金額多少錢，我就打在上面。
[07:19] 你再過來打。
[07:20] 怎麼不綁在一起？
[07:22] 我不知道可以綁。
[07:23] 好。
[07:24] 好，那那到時候你你真的跟著一起來好不好

[09:58] 說話者: 是6006乘4004。
[10:00] 說話者: 可是是750乘400。
[10:02] 說話者: 750乘750。
[10:04] 說話者: 對,750乘750,所以有板倒不進來,你就是自己多進來。
[10:08] 說話者: 一旦你連接在一起,全部都要在這裡改菜單哦。
[10:11] 說話者: 對,啊差別是
[10:13] 說話者: 差別就是你都在這裡按接收,它都會自己單,啊你就不要再回來這裡踢了。
[10:18] 說話者: 可是不肯啦,它的那一個審核不是很麻煩,它要看你原本店店內的菜單的價錢。
[10:25] 說話者: 對,呃
[10:26] 說話者: 對啊,那它有看到我店內的價錢,我就不能印一個假假的菜單給他咯。
[10:32] 說話者: 聽懂我意思嗎?
[10:33] 說話者: 我聽得懂。
[10:33] 說話者: 嗯。
[10:34] 說話者: 原本我們的單價可能60塊錢,可是我不肯拿上面賣80塊,等於我每次都抓找那個廣告商去幫我印一個漲價後的菜單,然後再拍上去給他做整合。
[10:44] 說話者: 那如果我用這邊的話,它會發現。
[10:47] 說話者: 不會。
[10:47] 說話者: 我記得就不會,不會強制去抓,我客人是這樣說,但如果你太誇張可能還是會抓啦。
[10:55] 說話者: 對啊。
[10:56] 說話者: 對對對,但你是不是看在跟我講,因為我目前客人都沒有說因為這麼出錯有什麼不OK的。
[11:04] 說話者: 沒有。
[11:04] 說話者: 對啊。
[11:05] 說話者: 對,啊你就可以在這裡,這有兩個功能,一個是Uber,一個是。
[11:09] 說話者: 那Uber是你填完你的商品,改完你的價格,上完你要的照片以後,
[11:14] 說話者: 你就會來這裡。
[11:17] 說話者: 賬號菜單重不能,你就登你的Uber ID。
[11:21] 說話者: 賬密,它就,然後前台再登出,超更新,它就可以抓新的資料進來。
[11:27] 說話者: 它只要10分鐘,這是Uber給我們的時間,可是要超久。
[11:32] 說話者: 對啊,一個工作。
[11:33] 說話者: 沒有,第一開始串接的時候要一個工作天,你之後只要改菜單跟價格,它都很快都會直接過去。
[11:41] 說話者: 對對對,所以串接有這個好處啊。
[11:44] 說話者: 嗯。
[11:44] 說話者: 對對對對對,但它的規範你還是要照它的規範。
[11:48] 說話者: 對啊。
[11:48] 說話者: 對對對對對,但是好像可以偷閃一下。
[11:50] 說話者: 我覺得可以。
[11:51] 說話者: 對對對對對。
[11:53] 說話者: 對對對對對。
[11:54] 說話者: 好,好,那我們再回來哦。
[11:56] 說話者: Uber跟這樣講,啊如果到時候老闆再問,就不要再買串接,不要浪費錢,我們就把錢省下來買這個。
[12:02] 說話者: 剛好就是有
[12:02] 說話者: 對對對,就同意有這串,但是有兩件事是我們系統做不到,他們沒有授權給我們,第一個,你商品要停售的時候,
[12:10] 說話者: 你還是要回到他們的平台,就是他你金子還是會開著,你要回去再按停售,他才不會一直進單。
[12:16] 說話者: 對啊。
[12:17] 說話者: 對,這是第一個,第二個是延長時間,比如說你現在現場很忙。
[12:21] 說話者: 很忙。
[12:22] 說話者: 然後延30分鐘。
[12:23] 說話者: 要現在他們延完再回來按接收。
[12:25] 說話者: 就這兩件事情。
[12:27] 說話者: 對,要再他們那邊處理,剩下都可以在這處理了。
[12:30] 說話者: 菜單更新都可以在這上面,這樣很方便。
[12:32] 說話者: 沒錯沒錯沒錯,然後它資料就是從你的機體這邊抓。
[12:37] 說話者: 對,你會設一個機體的內容。
[12:40] 說話者: 對。
[12:41] 說話者: 嗯嗯嗯,然後我會從它這邊複製過去你那,所以你會只要你有新東西再自己加進來就好了,大部分這邊都已經有了這樣子。
[12:50] 說話者: 嗯。
[12:51] 說話者: 我還有一個問題,像那個營業報表就是它的那個營業額的問題啊。
[12:55] 說話者: 對。
[12:55] 說話者: 它一定之前的記錄都沒辦法刪掉。
[12:59] 說話者: 都會留著。
[13:00] 說話者: 一定都會留著不能刪掉。
[13:02] 說話者: 是哦。
[13:03] 說話者: 嗯。
[13:04] 說話者: 對啊,就因為我後來發現好像這六年的好像全部都還在,都沒辦法刪。
[13:07] 說話者: 對啊。
[13:08] 說話者: 我們這邊也沒辦法刪。
[13:09] 說話者: 為什麼要刪掉?不行。
[13:10] 說話者: 他怕他被查。
[13:12] 說話者: 好,先說不會被查,原因是你的資料跟我們是,不能說不會被查,應該說你個資料跟我們資料是屬於保密合約,所以我們不能隨便給別人知道。
[13:23] 說話者: 國稅局的。
[13:24] 說話者: 他發函過來說他要查你,我要查東門店,那就要給,但是
[13:29] 說話者: 這樣嗎?
[13:30] 說話者: 基本上不會遇到查的事情,為什麼?
[13:33] 說話者: 什麼原因會被查?
[13:35] 說話者: 通常是被檢舉的時候。
[13:37] 說話者: 對啊。
[13:38] 說話者: 才會被查,但是這種檢舉有兩種形式哦。
[13:40] 說話者: 通常啦,一般在新竹被檢舉是人家直接到你店面那邊蹲點。
[13:45] 說話者: 哦。
[13:45] 說話者: 看你跟他已經沒有關係了,對對對對對。
[13:48] 說話者: 好像看那個什麼號碼,然後還有看排隊的。
[13:50] 說話者: 對對對對對對,一定跟這個毫無關係,然後更絕一點,他可能現場發現你沒什麼可能,所以他會掉我們資料,但是沒有這件事發生過,以我們從業十幾年來,沒有人要求說要查資料。
[14:04] 說話者: 但你說的疑慮是有可能存在的,大部分都是來自於檢舉,對,來自於檢舉蹲點比較多,比較不會是從這裡下手。
[14:13] 說話者: 對對對,所以你不用擔心刪掉的問題,因為全都是保密合約這樣子。
[14:16] 說話者: 嗯。
[14:17] 說話者: 有人來檢舉的話,你們就會提供。
[14:21] 說話者: 有人檢舉的話還不會,是要國稅局發公文來,對,發函來說我要看這間店。
[14:28] 說話者: 找你們的話。
[14:29] 說話者: 對對對對對。
[14:30] 說話者: 但能跟你們說的是我們目前沒有遇過這樣的情形,就從業十幾年來,沒有遇過這樣的情形。
[14:38] 說話者: 對。
[14:39] 說話者: 好啊。
[14:40] 說話者: 嗯。
[14:40] 說話者: 好,還有嗎?還有想問的嗎?
[14:43] 說話者: 嗯,看你啊。
[14:44] 說話者: 對,那大概都都都知道功能。
[14:47] 說話者: 呃,我沒有沒有,大概知道而已,實際上的教學會是我們全開電合作,對,開電的時候跟你約時間,開電之前就要學啊,不能在開電的時候學,會太匆忙,對對對,就是開電之前我們就學操作,然後,然後怎麼串接,然後到時候你就可以上線的時候就可以直接正式使用。
[15:07] 說話者: 欸,那你的原店有使用線上點餐嗎?
[15:10] 說話者: 沒有。
[15:10] 說話者: 嗯,那新店有打算要用嗎?
[15:12] 說話者: 看啊,因為我們那一間店都是老人家,所以也不太會弄這種東西,所以就沒有增加。
[15:17] 說話者: 線上點餐是什麼意思?
[15:18] 說話者: 線上點餐就是我在家點好,人過來拿的那一種。
[15:22] 說話者: 哦。
[15:23] 說話者: 我舉例給你。
[15:24] 說話者: 就
